                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8905,                 3.6352,                 1.5606,                0.00456,                0.63889,                0.19383,                 0.1003,                 1.5783,                 3.8281,                 1.4933,             0.00036674,             0.00036674,             0.00036674
                      2,                  1.885,                 2.2381,                  1.514,                0.00752,                0.85417,                0.14303,                0.08709,                 1.6359,                 3.5867,                 1.4416,             0.00071302,             0.00071302,             0.00071302
                      3,                  1.856,                 2.3981,                 1.5708,                  0.158,                0.03127,                 0.0616,                0.02928,                 1.6743,                 3.4775,                 1.5534,              0.0010213,              0.0010213,              0.0010213
                      4,                 1.8884,                 2.1382,                 1.5413,                0.70448,                0.22569,                0.31901,                0.16826,                 1.7716,                 3.0763,                 1.6573,              0.0012917,              0.0012917,              0.0012917
                      5,                  1.838,                 2.0925,                 1.5252,                0.56728,                0.42361,                0.44829,                0.19632,                 1.9088,                 2.4167,                 1.7494,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.8676,                 1.9802,                 1.5349,                0.58506,                 0.4375,                0.50564,                0.25853,                 1.8376,                 2.1814,                 1.6413,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.8936,                 1.8513,                 1.5372,                0.58182,                0.47569,                0.49415,                0.21944,                 1.7827,                 2.1881,                 1.6318,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.7789,                 1.8209,                 1.4971,                0.62938,                0.63542,                0.65358,                0.31451,                 1.6379,                 2.1687,                 1.5354,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.7132,                 1.6647,                 1.4163,                 0.6661,                0.64583,                0.65312,                0.33667,                 1.6377,                  1.726,                 1.4745,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.7536,                 1.6946,                 1.4735,                0.77379,                0.64136,                0.73017,                0.36304,                 1.6846,                 1.6065,                 1.5498,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.6413,                 1.6315,                 1.4466,                0.78187,                0.59028,                0.71437,                0.39634,                 1.5537,                 1.6356,                 1.4189,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.6395,                 1.5333,                 1.4811,                0.70471,                0.65462,                0.72493,                0.41097,                 1.4654,                 1.4713,                 1.3637,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.6457,                 1.4718,                 1.5005,                0.81734,                0.74306,                0.80804,                0.45568,                 1.4457,                 1.4389,                 1.3647,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.5636,                  1.381,                 1.4249,                0.81964,                0.71005,                0.80469,                0.44632,                 1.4529,                 1.3692,                 1.3875,              0.0006768,              0.0006768,              0.0006768
                     15,                  1.574,                 1.3472,                 1.4358,                0.89379,                0.74306,                0.85465,                  0.504,                  1.361,                 1.1829,                 1.3455,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.5238,                 1.3349,                 1.4154,                0.82213,                0.77035,                0.85456,                0.50978,                 1.3257,                 1.1916,                 1.3188,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.5046,                 1.2318,                 1.3796,                0.90457,                0.76736,                0.87269,                0.53648,                 1.2804,                 1.1126,                 1.2777,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.4738,                 1.2135,                 1.3601,                0.88993,                0.81412,                0.89497,                0.56584,                 1.2542,                 1.0507,                 1.2801,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.3828,                 1.1764,                 1.3194,                0.93255,                0.81609,                  0.907,                0.57711,                 1.2513,                 1.0021,                 1.2662,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.4182,                 1.1319,                 1.3407,                0.95546,                0.80903,                0.92154,                0.58703,                 1.2212,                 0.9691,                 1.2445,              0.0001817,              0.0001817,              0.0001817
